retailer,name,address,region,postal_code,latitude,longitude,maps_url,is_active,fase,casa_loy_blanco,casa_loy_reposado,casa_loy_cristalino,casa_loy_anejo,casa_loy_piedra_y_agave_blanco,taddel_plata,taddel_reposado,taddel_cristalino,tierra_zafiro_blanco,tierra_zafiro_blanco_100_pure,tierra_zafiro_reposado,tierra_zafiro_cristalino,creado_en,casa_loy_piedra_y_agave_reposado,pdv,cdc,cl,td,tz
La FundaciÃ³n Norestense,,"Blvrd Julian TreviÃ±o Elizondo 200, Plaza Las CastaÃ±as CP 66634, Apodaca Nl",mx,66634,25.7469338,-100.1995209,https://maps.app.goo.gl/eL5eshsDLumRduNTA,true,Alejandro Carranza,false,false,false,false,false,true,true,false,false,false,false,false,,false,false,true,,,
La Galeria Eventos ,,"Av. Benito Juarez 501, Col La Encomienda, Joyas de Anahuac, CP 66054, Escobedo NL",mx,66054,25.7805339,-100.2862676,https://maps.app.goo.gl/yLFeHmrpQHw3Tmvf8,true,Alejandro Carranza,false,false,false,false,false,false,false,false,true,false,false,false,,false,false,true,,,
La Industrial Steakhouse,,"Av. Paseo de los Leones 1596, Cumbres 1a sec, CP 64610 Monterrey NL\n",mx,64610,25.6996338,-100.3654989,https://maps.app.goo.gl/AemQRjyxfLcEqezHA,true,Alejandro Carranza,false,false,false,false,false,false,false,false,false,false,true,false,,false,false,true,,,
La Santa Kitchen Bar,San Pedro,"Av. Fundadores 955, Valle del Mirador CP 64750, Monterrey NL",mx,64750,25.6377424,-100.3187056,https://maps.app.goo.gl/YUedngHtAUQKZXiM6,true,Alejandro Carranza,false,false,false,false,false,false,false,false,false,false,true,false,,false,false,true,,,
La Santa Kitchen Bar,Citadel,"Av. RÃ­omulo Garza 410 Sin Nombre de col 34, CP 66477, San Nicolas de los Garza",mx,66477,25.725941,-100.2175297,https://maps.app.goo.gl/fkBNg42P1MPEZ6CAA,true,Alejandro Carranza,false,false,false,false,false,false,false,false,false,false,true,false,,false,false,true,,,
La Santa Kitchen Bar,Citadina Concordia ,Plaza Citadina Concordia Av. Concordia Mision San Jose Local 20-21 CP 6612 Apodaca Nl,mx,66612,25.7846733,-100.2381162,https://maps.app.goo.gl/QCdw78uBkWdeCxP47,true,Alejandro Carranza,false,false,false,false,false,false,false,false,false,false,true,false,,false,false,true,,,
La Tahona,San Jacinto,"Av San Jacinto 40, San Andrés, 44810 Guadalajara, Jal.",mx,44810,20.6615273,-103.2988056,https://maps.app.goo.gl/41Qu2cob9hqmjs1J8,true,Isaac Gomez,,,,,,,,,,,,,,,false,true,false,,,
La Tahona,Cruz Del Sur,"Av. Cruz del Sur 3810, Lomas de La Victoria, 45085 Zapopan, Jal.",mx,45085,20.6339349,-103.4006629,https://maps.app.goo.gl/QkGwjquB7HYQZxbb6,true,Isaac Gomez,,,,,,,,,,,,,,,false,true,false,,,
La Tahona,Tepatitlan,"Av. Josó González Carnicerito 1196, Saint-michel, 47675 Tepatitlán de Morelos, Jal.",mx,47675,20.8038169,-102.7839516,https://maps.app.goo.gl/Mcq1pZ3W99TzKHwi7,true,Isaac Gomez,,,,,,,,,,,,,,,false,true,false,,,
La Tahona,Santa Fe,"C. Galeana 9, Centro, 45460 Santa Fe, Jal.",mx,45460,20.5261131,-103.0843015,https://maps.app.goo.gl/u3iMzyjtVHFf26h49,true,Isaac Gomez,,,,,,,,,,,,,,,false,true,false,,,
La Tahona,Matriz,"C. Gonzalez Gallo 24, Madre Nati, 45438 Zapotlanejo, Jal.",mx,45438,20.5795948,-103.119557,https://maps.app.goo.gl/oYmEWDJGhiFv9wia9,true,Isaac Gomez,,,,,,,,,,,,,,,false,true,false,,,
La Tahona,Abastos,"C. Granadilla 2179, Jardines de La Cruz, 44530 Guadalajara, Jal.",mx,44530,20.6493721,-103.3826893,https://maps.app.goo.gl/9MhXGbJSumAWkfnH6,true,Isaac Gomez,,,,,,,,,,,,,,,false,true,false,,,
La Tahona,La Laja,"C. Nicolás Bravo 2E, Centro San José, 45438 La Laja, Jal.",mx,45438,20.5812688,-103.1230425,https://maps.app.goo.gl/WJtTRoUb3tXRcr236,true,Isaac Gomez,,,,,,,,,,,,,,,false,true,false,,,
La Tahona,Federacion,"Calle Federación 1257, Oblatos, 44700 Guadalajara, Jal.",mx,44700,20.6794323,-103.3222296,https://maps.app.goo.gl/7kxwnPTr7MAJvP7a9,true,Isaac Gomez,,,,,,,,,,,,,,,false,true,false,,,
